"celltype","gene","logFC","logCPM","F","PValue","FDR","n_cells","n_samples_AD","n_samples_CN","assay","direction","neglog10P"
"Excitatory","DHRS11",-0.230935895408721,3.47694940316282,2.71896883092966,0.103790336048559,0.992957765619551,127723,33,33,"decontX","Not significant",0.983843081903459
"Excitatory","HESX1",-0.279846736473662,0.94904865375976,2.71819976237655,0.103844622491615,0.992957765619551,127723,33,33,"decontX","Not significant",0.983615988129226
"Excitatory","MCF2L-AS1",0.249124633114543,-0.408745878290817,2.71626064843037,0.103864459312353,0.992957765619551,127723,33,33,"decontX","Not significant",0.983533035359554
"Excitatory","CCDC191",-0.128778365958115,4.88861948521661,2.71764621921877,0.10387142585753,0.992957765619551,127723,33,33,"decontX","Not significant",0.983503906717411
"Excitatory","MCCC2",-0.141070360509206,4.95901184883407,2.71761583464238,0.103873298509203,0.992957765619551,127723,33,33,"decontX","Not significant",0.983496077086206
"Excitatory","CCDC155",0.341967489346006,-1.71889387175116,2.699803913945,0.10389214394714,0.992957765619551,127723,33,33,"decontX","Not significant",0.983417291416841
"Excitatory","AL133372.2",-0.254795643912532,-0.634215073782632,2.71452425453943,0.10392152451426,0.992957765619551,127723,33,33,"decontX","Not significant",0.983294490848863
"Excitatory","MICALL2",-0.136752952165307,4.16271370101957,2.71657963829715,0.103938503300373,0.992957765619551,127723,33,33,"decontX","Not significant",0.983223541246746
"Excitatory","AL451165.2",0.266031817665826,0.547324674131809,2.71330447881177,0.104153648801575,0.992957765619551,127723,33,33,"decontX","Not significant",0.982325510866192
"Excitatory","KREMEN1",-0.139250904104373,3.2397328581442,2.71313853943909,0.104155053823813,0.992957765619551,127723,33,33,"decontX","Not significant",0.982319652316864
"Excitatory","AIG1",-0.085721615490553,7.71937785166646,2.71169466380286,0.104243226655512,0.992957765619551,127723,33,33,"decontX","Not significant",0.981952154308173
"Excitatory","SORD",-0.108775707190677,3.3490457760229,2.71166970258159,0.104246624607879,0.992957765619551,127723,33,33,"decontX","Not significant",0.981937998108686
"Excitatory","HARS",-0.0669763136499736,5.72488420572123,2.71091055234619,0.104292415747398,0.992957765619551,127723,33,33,"decontX","Not significant",0.98174727277017
"Excitatory","RAB11FIP4",0.0839608789410422,7.02824628195456,2.71029853575507,0.104330714208544,0.992957765619551,127723,33,33,"decontX","Not significant",0.981587819592263
"Excitatory","LINC02145",-0.186648635457218,2.17541830345372,2.70991977775551,0.104361273181719,0.992957765619551,127723,33,33,"decontX","Not significant",0.981460631254243
"Excitatory","CCT5",0.153216204615065,4.97216449115666,2.70944900930163,0.104384216237211,0.992957765619551,127723,33,33,"decontX","Not significant",0.981365165311807
"Excitatory","SULT1A1",-0.138232034246937,5.55760849525692,2.70923441459142,0.104397555780636,0.992957765619551,127723,33,33,"decontX","Not significant",0.981309669182499
"Excitatory","AC015922.4",0.354187388605465,-0.480290602177175,2.7018690613218,0.104408389622451,0.992957765619551,127723,33,33,"decontX","Not significant",0.981264602671455
