source,target,mean_strength_AD,n_lr_AD,mean_strength_CN,n_lr_CN,delta_AD_vs_CN,source_n_AD,source_n_CN,target_n_AD,target_n_CN,min_group_cell_count,source_family,target_family
Inhibitory,Excitatory,0.690388585531775,679.0,0.358910697149102,716,0.33147788838267295,18727,18751,62331,65392,18727,Neuron,Neuron
Inhibitory,Inhibitory,1.10498875939482,653.0,0.354670350430439,687,0.7503184089643811,18727,18751,18727,18751,18727,Neuron,Neuron
Inhibitory,Micro_DAM,0.494648738211067,413.0,0.296262758418654,431,0.19838597979241296,18727,18751,10413,8260,8260,Neuron,Microglia
Inhibitory,Micro_Homeostatic,0.362389272299308,421.0,0.338963505505657,428,0.023425766793650993,18727,18751,2452,2998,2452,Neuron,Microglia
Inhibitory,OPCs,0.699320605708119,558.0,0.467066679541928,604,0.23225392616619106,18727,18751,9583,11259,9583,Neuron,Oligo/OPC
Inhibitory,Oligodendrocytes,0.76510380422241,371.0,0.322414023387992,399,0.44268978083441796,18727,18751,80232,64998,18727,Neuron,Oligo/OPC
Micro_DAM,Astro_Homeostatic,0.647590428508287,349.0,0.624583046019752,369,0.023007382488534955,10413,8260,7441,10219,7441,Microglia,Astrocyte
Micro_DAM,Astro_Intermediate,0.640510721129153,337.0,0.654658029300588,359,-0.014147308171435058,10413,8260,5602,5852,5602,Microglia,Astrocyte
Micro_DAM,Astro_Reactive,0.622123846339215,359.0,0.628842538779095,368,-0.006718692439879992,10413,8260,1387,1200,1200,Microglia,Astrocyte
Micro_DAM,CapEC_ActHigh,0.91656969596129,277.0,0.880176300436413,289,0.03639339552487697,10413,8260,134,124,124,Microglia,Vascular
Micro_DAM,CapEC_ActLow,0.757738367096971,247.0,0.675053077393039,244,0.08268528970393196,10413,8260,129,129,129,Microglia,Vascular
Micro_DAM,CapEC_ActMid,0.869673060417417,262.0,0.765631791931597,274,0.10404126848581996,10413,8260,154,112,112,Microglia,Vascular
Micro_DAM,Cerebrovascular_Pericyte,0.681404194148903,426.0,0.622546118807983,416,0.05885807534091991,10413,8260,516,449,449,Microglia,Vascular
Micro_DAM,Cerebrovascular_Venous,0.591398057678711,347.0,0.53539810693335,348,0.055999950745361016,10413,8260,328,317,317,Microglia,Vascular
Micro_DAM,Excitatory,0.400850134458698,335.0,0.389999483891633,348,0.010850650567064968,10413,8260,62331,65392,8260,Microglia,Neuron
Micro_DAM,Inhibitory,0.386963302430365,315.0,0.375189325810508,329,0.011773976619856963,10413,8260,18727,18751,8260,Microglia,Neuron
Micro_DAM,Micro_DAM,0.833852051306145,278.0,0.70296678907928,284,0.13088526222686503,10413,8260,10413,8260,8260,Microglia,Microglia
Micro_DAM,Micro_Homeostatic,0.812505327516031,275.0,0.768093198498442,284,0.04441212901758895,10413,8260,2452,2998,2452,Microglia,Microglia
Micro_DAM,OPCs,0.616333509034448,308.0,0.555953150431789,324,0.060380358602659,10413,8260,9583,11259,8260,Microglia,Oligo/OPC
Micro_DAM,Oligodendrocytes,0.459077207353608,210.0,0.42094189054804,221,0.03813531680556803,10413,8260,80232,64998,8260,Microglia,Oligo/OPC
Micro_Homeostatic,Astro_Homeostatic,0.386237942391163,350.0,0.624474451856528,372,-0.23823650946536495,2452,2998,7441,10219,2452,Microglia,Astrocyte
Micro_Homeostatic,Astro_Intermediate,0.394355251249604,336.0,0.650162398815016,361,-0.255807147565412,2452,2998,5602,5852,2452,Microglia,Astrocyte
Micro_Homeostatic,Astro_Reactive,0.405861333934095,357.0,0.632780681879746,373,-0.226919347945651,2452,2998,1387,1200,1200,Microglia,Astrocyte
Micro_Homeostatic,CapEC_ActHigh,0.606216545116299,280.0,0.849357951710104,294,-0.243141406593805,2452,2998,134,124,124,Microglia,Vascular
Micro_Homeostatic,CapEC_ActLow,0.486080788314556,249.0,0.671335823989946,248,-0.18525503567538998,2452,2998,129,129,129,Microglia,Vascular
Micro_Homeostatic,CapEC_ActMid,0.559115484993131,264.0,0.755142368157718,281,-0.19602688316458694,2452,2998,154,112,112,Microglia,Vascular
Micro_Homeostatic,Cerebrovascular_Pericyte,0.426010724148063,426.0,0.628038410396954,430,-0.20202768624889095,2452,2998,516,449,449,Microglia,Vascular
Micro_Homeostatic,Cerebrovascular_Venous,0.350337609327568,348.0,0.501667149648018,364,-0.15132954032044993,2452,2998,328,317,317,Microglia,Vascular
Micro_Homeostatic,Excitatory,0.239760891515723,338.0,0.362187517482319,356,-0.12242662596659598,2452,2998,62331,65392,2452,Microglia,Neuron
Micro_Homeostatic,Inhibitory,0.246364814448753,318.0,0.349767289072657,338,-0.10340247462390398,2452,2998,18727,18751,2452,Microglia,Neuron
Micro_Homeostatic,Micro_DAM,0.498324623743712,280.0,0.67967817675823,285,-0.18135355301451794,2452,2998,10413,8260,2452,Microglia,Microglia
Micro_Homeostatic,Micro_Homeostatic,0.503561509794877,276.0,0.729871315836204,285,-0.226309806041327,2452,2998,2452,2998,2452,Microglia,Microglia
Micro_Homeostatic,OPCs,0.390491706351453,307.0,0.543328779675001,330,-0.152837073323548,2452,2998,9583,11259,2452,Microglia,Oligo/OPC
Micro_Homeostatic,Oligodendrocytes,0.330957125258589,212.0,0.428691019971777,226,-0.097733894713188,2452,2998,80232,64998,2452,Microglia,Oligo/OPC
OPCs,Astro_Homeostatic,0.530253473190757,637.0,0.644687868863175,654,-0.11443439567241798,9583,11259,7441,10219,7441,Oligo/OPC,Astrocyte
OPCs,Astro_Intermediate,0.547087975459472,618.0,0.690811397832636,638,-0.14372342237316404,9583,11259,5602,5852,5602,Oligo/OPC,Astrocyte
OPCs,Astro_Reactive,0.551510536329799,658.0,0.687915741443825,667,-0.13640520511402598,9583,11259,1387,1200,1200,Oligo/OPC,Astrocyte
OPCs,CapEC_ActHigh,0.771044218260581,495.0,0.910084033515479,523,-0.13903981525489795,9583,11259,134,124,124,Oligo/OPC,Vascular
OPCs,CapEC_ActLow,0.624556632987333,443.0,0.708564916109778,438,-0.08400828312244502,9583,11259,129,129,129,Oligo/OPC,Vascular
OPCs,CapEC_ActMid,0.727948714642279,464.0,0.780771905423536,494,-0.05282319078125708,9583,11259,154,112,112,Oligo/OPC,Vascular
OPCs,Cerebrovascular_Pericyte,0.55617188642253,778.0,0.63748168612755,758,-0.08130979970501995,9583,11259,516,449,449,Oligo/OPC,Vascular
OPCs,Cerebrovascular_Venous,0.437369338630502,640.0,0.477864606185853,664,-0.040495267555351044,9583,11259,328,317,317,Oligo/OPC,Vascular
OPCs,Excitatory,0.428797257152726,637.0,0.496215171208294,647,-0.06741791405556802,9583,11259,62331,65392,9583,Oligo/OPC,Neuron
