test_ligand,auroc,aupr,aupr_corrected,pearson,receiver_context,ligand_clean,n_receiver_genes,n_background_genes,n_potential_ligands,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,target_families,source_cellstates,target_cellstates,receptor_examples,lr_pair_examples,receptor_supported_by_nichenet,activity_rank_within_receiver
COL4A2,0.592259394443709,0.05975498306772554,0.02125113268268703,0.0733141339000498,Microglia,COL4A2,385,9999,204,COL4A2,12,0.9569971891122602,0.43281784014026203,Astrocyte;Vascular,Microglia,Astro_Homeostatic;CapEC_ActHigh;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,CD93;ITGA9_ITGB1;ITGB5,COL4A2 - CD93;COL4A2 - ITGA9/ITGB1;COL4A2 - ITGB5,TRUE,45
LIN7C,0.5913375785853413,0.06136248875867039,0.022858638373631883,0.07309948318315308,Microglia,LIN7C,385,9999,204,LIN7C,4,0.42296015088470695,0.25172680352432397,Vascular,Microglia,CapEC_ActMid;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,ABCA1,LIN7C - ABCA1,TRUE,46
ARF1,0.5937353264584372,0.0604548523068004,0.021951001921761894,0.07305134136488445,Microglia,ARF1,385,9999,204,ARF1,4,0.240463518022014,0.14079403237521027,Vascular,Microglia,CapEC_ActMid;Cerebrovascular_Pericyte,Micro_DAM;Micro_Homeostatic,PLD2,ARF1 - PLD2,TRUE,47
HLA-C,0.595218823198852,0.05866183412480824,0.020157983739769736,0.07299415806451114,Microglia,HLA-C,385,9999,204,HLA-C,5,0.7121915237316898,0.38299658474112275,Microglia;Vascular,Microglia,Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM,Micro_DAM;Micro_Homeostatic,LILRB1,HLA-C - LILRB1,TRUE,48
SEMA5A,0.5896106597791632,0.060965389506899406,0.0224615391218609,0.07265235747329776,Microglia,SEMA5A,385,9999,204,SEMA5A,4,1.00422965966939,0.6786132253353375,Vascular,Microglia,Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,PLXNA1,SEMA5A - PLXNA1,TRUE,49
ADAM12,0.6003360899553964,0.061329433091791064,0.022825582706752556,0.07250701788090201,Microglia,ADAM12,385,9999,204,ADAM12,5,0.358106890793942,0.24045430920072564,Astrocyte;Vascular,Microglia,Astro_Homeostatic;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,ITGA9;ITGB1,ADAM12 - ITGA9;ADAM12 - ITGB1,TRUE,50
CALCB,0.599749823714874,0.06178569451199194,0.02328184412695343,0.07249097837291281,Microglia,CALCB,385,9999,204,CALCB,4,0.514333218706978,0.27937087020873097,Astrocyte,Microglia,Astro_Homeostatic;Astro_Intermediate,Micro_DAM;Micro_Homeostatic,ADRB2;TSHR,CALCB - ADRB2;CALCB - TSHR,FALSE,51
NRG2,0.6011344386838465,0.06285671528619122,0.02435286490115271,0.07232831990003363,Microglia,NRG2,385,9999,204,NRG2,2,0.08939726216224497,0.05406179310728254,Astrocyte;Vascular,Microglia,Astro_Homeostatic;Cerebrovascular_Pericyte,Micro_DAM,NRP2,NRG2 - NRP2,TRUE,52
COL1A1,0.5990673773906557,0.06148564022766967,0.022981789842631162,0.07215903647576764,Microglia,COL1A1,385,9999,204,COL1A1,12,0.90071705185931,0.478807686908304,Vascular,Microglia,Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,CD93;ITGA5;ITGA9_ITGB1,COL1A1 - CD93;COL1A1 - ITGA5;COL1A1 - ITGA9/ITGB1,TRUE,53
CD38,0.5916515147012336,0.060039732998683155,0.021535882613644648,0.07193925442016892,Microglia,CD38,385,9999,204,CD38,2,0.47339086119131296,0.40610258637640395,Vascular,Microglia,Cerebrovascular_Pericyte,Micro_DAM;Micro_Homeostatic,PECAM1,CD38 - PECAM1,TRUE,54
BMP5,0.5844920421787488,0.06007135912395789,0.021567508738919383,0.07170899845405555,Microglia,BMP5,385,9999,204,BMP5,5,0.4487171873866429,0.26018662118211955,Vascular,Microglia,Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,ACVR1_ACVR2A;ACVR1_ACVR2B;BMPR1A_BMPR2,BMP5 - ACVR1/ACVR2A;BMP5 - ACVR1/ACVR2B;BMP5 - BMPR1A/BMPR2,TRUE,55
BMP1,0.5805119157937936,0.05957612333034728,0.021072272945308772,0.07163401808061788,Microglia,BMP1,385,9999,204,BMP1,14,0.4497335424364,0.19166935534693239,Astrocyte;Vascular,Microglia,Astro_Intermediate;Astro_Reactive;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,BMPR1A;BMPR2,BMP1 - BMPR1A;BMP1 - BMPR2,TRUE,56
LGALS3,0.5983471074380166,0.06181058392487901,0.023306733539840502,0.07134856320864211,Microglia,LGALS3,385,9999,204,LGALS3,1,0.0602394602249311,0.0602394602249311,Vascular,Microglia,Cerebrovascular_Venous,Micro_DAM,ENG,LGALS3 - ENG,TRUE,57
HLA-B,0.5917236497640068,0.05973733916653552,0.021233488781497015,0.0713050783279786,Microglia,HLA-B,385,9999,204,HLA-B,17,0.62393101688673,0.2143640159566812,Astrocyte;Microglia;Vascular,Microglia,Astro_Intermediate;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM,Micro_DAM;Micro_Homeostatic,CANX;LILRB1,HLA-B - CANX;HLA-B - LILRB1,TRUE,58
TNXB,0.5888490540040354,0.05999651925442038,0.02149266886938187,0.07125350437326677,Microglia,TNXB,385,9999,204,TNXB,4,0.2581027232264801,0.18686349817383355,Vascular,Microglia,CapEC_ActLow;Cerebrovascular_Pericyte,Micro_DAM;Micro_Homeostatic,ITGA9_ITGB1,TNXB - ITGA9/ITGB1,TRUE,59
CD55,0.5976017117893554,0.060190783257427626,0.02168693287238912,0.07124147485556187,Microglia,CD55,385,9999,204,CD55,8,0.42418832003459994,0.26321174054616997,Microglia;Vascular,Microglia,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM,Micro_DAM;Micro_Homeostatic,ADGRE2,CD55 - ADGRE2,TRUE,60
ANXA1,0.5983352200119411,0.06016531092755609,0.02166146054251758,0.07039562837406177,Microglia,ANXA1,385,9999,204,ANXA1,7,0.3911733518010201,0.23693228323423343,Astrocyte;Vascular,Microglia,Astro_Reactive;CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,FPR1,ANXA1 - FPR1,TRUE,61
TNC,0.5943904857364389,0.06085906494561616,0.022355214560577652,0.07034799017493942,Microglia,TNC,385,9999,204,TNC,6,0.348667878101967,0.12771887311823982,Astrocyte,Microglia,Astro_Intermediate;Astro_Reactive,Micro_DAM;Micro_Homeostatic,CNTN1;ITGA5;ITGA9_ITGB1,TNC - CNTN1;TNC - ITGA5;TNC - ITGA9/ITGB1,TRUE,62
HLA-F,0.6009844950140348,0.058393459491344175,0.019889609106305668,0.0703262053390731,Microglia,HLA-F,385,9999,204,HLA-F,5,0.47056179312271,0.23279357766865297,Vascular,Microglia,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,Micro_DAM;Micro_Homeostatic,LILRB1,HLA-F - LILRB1,TRUE,63
COL1A2,0.5883281686069293,0.05876289739573152,0.02025904701069301,0.07011946036896742,Microglia,COL1A2,385,9999,204,COL1A2,6,1.93519464154762,0.7030921550731839,Vascular,Microglia,Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,CD93;ITGA9_ITGB1,COL1A2 - CD93;COL1A2 - ITGA9/ITGB1,TRUE,64
CXCL14,0.5901950348382621,0.059220303566634484,0.020716453181595977,0.07010351897649728,Microglia,CXCL14,385,9999,204,CXCL14,1,0.13676478009880205,0.13676478009880205,Astrocyte,Microglia,Astro_Intermediate,Micro_DAM,CXCR4,CXCL14 - CXCR4,TRUE,65
RGMA,0.5894896241682176,0.058692895843987035,0.020189045458948528,0.06994339242079865,Microglia,RGMA,385,9999,204,RGMA,2,0.03763008638255699,0.032566597857413476,Astrocyte,Microglia,Astro_Intermediate;Astro_Reactive,Micro_Homeostatic,BMPR2;NEO1,RGMA - BMPR2;RGMA - NEO1,TRUE,66
BMP2,0.5996017712264844,0.060098077987169325,0.021594227602130818,0.06977357971261702,Microglia,BMP2,385,9999,204,BMP2,10,0.3900117967211299,0.24379622870253786,Vascular,Microglia,Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,ACTR2;ACVR1;ACVR2A_BMPR1A;ACVR2B_BMPR1A;BMPR1A_BMPR2,BMP2 - ACTR2;BMP2 - ACVR1;BMP2 - ACVR2A/BMPR1A;BMP2 - ACVR2B/BMPR1A;BMP2 - BMPR1A/BMPR2,TRUE,67
SEMA4A,0.5963465076633387,0.05958470866320778,0.021080858278169273,0.06962364989828614,Microglia,SEMA4A,385,9999,204,SEMA4A,1,0.0863622437377615,0.0863622437377615,Astrocyte,Microglia,Astro_Homeostatic,Micro_Homeostatic,NRP1_PLXNA1,SEMA4A - NRP1/PLXNA1,TRUE,68
PTGS2,0.5977956929693973,0.05853341375049369,0.02002956336545518,0.06951001479340713,Microglia,PTGS2,385,9999,204,PTGS2,2,1.04658706685395,0.9551764819995155,Vascular,Microglia,Cerebrovascular_Pericyte,Micro_DAM;Micro_Homeostatic,ALOX5,PTGS2 - ALOX5,FALSE,69
MELTF,0.6062073977613788,0.060763322304318385,0.022259471919279877,0.06930497633383467,Microglia,MELTF,385,9999,204,MELTF,1,0.1345604796391533,0.1345604796391533,Vascular,Microglia,Cerebrovascular_Pericyte,Micro_DAM,TFRC,MELTF - TFRC,TRUE,70
MDK,0.5942146058642799,0.06100984424908591,0.022505993864047405,0.06897630093617044,Microglia,MDK,385,9999,204,MDK,10,0.84544407035486,0.32896692039426334,Vascular,Microglia,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte,Micro_DAM;Micro_Homeostatic,LRP1;NOTCH2;SORL1,MDK - LRP1;MDK - NOTCH2;MDK - SORL1,TRUE,71
ADAM15,0.5874892945623134,0.05769456899287424,0.019190718607835736,0.06897435950052826,Microglia,ADAM15,385,9999,204,ADAM15,22,0.8363053045695601,0.29007222558283474,Vascular,Microglia,CapEC_ActHigh;CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,ITGA5;ITGA9;ITGAV;ITGB1,ADAM15 - ITGA5;ADAM15 - ITGA9;ADAM15 - ITGAV;ADAM15 - ITGB1,TRUE,72
TGFB3,0.5989244581089789,0.05927630362297047,0.020772453237931962,0.06890762659546981,Microglia,TGFB3,385,9999,204,TGFB3,13,0.83804080508435,0.4724298629067132,Astrocyte;Vascular,Microglia,Astro_Intermediate;Cerebrovascular_Pericyte,Micro_DAM;Micro_Homeostatic,ACVR1_TGFBR1_TGFBR2;ACVR1_TGFBR2;ACVR1B_TGFBR2;ITGB5;TGFBR1_TGFBR2,TGFB3 - ACVR1/TGFBR1/TGFBR2;TGFB3 - ACVR1/TGFBR2;TGFB3 - ACVR1B/TGFBR2;TGFB3 - ITGB5;TGFB3 - TGFBR1/TGFBR2,TRUE,73
COL4A5,0.5888860671261342,0.05766080531118692,0.019156954926148412,0.06865446789567768,Microglia,COL4A5,385,9999,204,COL4A5,1,0.123984258618268,0.123984258618268,Vascular,Microglia,Cerebrovascular_Venous,Micro_Homeostatic,CD93,COL4A5 - CD93,TRUE,74
LAMA4,0.5788211996033913,0.05951207410960645,0.02100822372456794,0.0685974694918216,Microglia,LAMA4,385,9999,204,LAMA4,10,1.01037544012298,0.2885622253845446,Astrocyte;Vascular,Microglia,Astro_Homeostatic;CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,ITGA6_ITGB1;ITGA9_ITGB1,LAMA4 - ITGA6/ITGB1;LAMA4 - ITGA9/ITGB1,TRUE,75
COL4A1,0.5965734494338626,0.059493153032105145,0.020989302647066638,0.06851147405568911,Microglia,COL4A1,385,9999,204,COL4A1,14,0.87413774208904,0.27551569002273923,Vascular,Microglia,CapEC_ActHigh;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,CD47;CD93;ITGA9_ITGB1,COL4A1 - CD47;COL4A1 - CD93;COL4A1 - ITGA9/ITGB1,TRUE,76
VIP,0.6048800585725895,0.06176898509686218,0.023265134711823676,0.0683260534434094,Microglia,VIP,385,9999,204,VIP,3,0.26682397801319,0.16924390203133724,Vascular,Microglia,CapEC_ActLow,Micro_DAM;Micro_Homeostatic,ADRB2;TSHR,VIP - ADRB2;VIP - TSHR,FALSE,77
F11R,0.6015056505799187,0.060943631832232566,0.02243978144719406,0.06825037770977478,Microglia,F11R,385,9999,204,F11R,7,0.42096004357627503,0.190235053324341,Vascular,Microglia,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,Micro_DAM;Micro_Homeostatic,ITGAL_ITGB2,F11R - ITGAL/ITGB2,TRUE,78
ADAM23,0.5915348017906767,0.057567913993334593,0.019064063608296086,0.06802901505027387,Microglia,ADAM23,385,9999,204,ADAM23,2,0.1917490874938781,0.14461866558495096,Astrocyte,Microglia,Astro_Reactive,Micro_DAM;Micro_Homeostatic,ITGA5,ADAM23 - ITGA5,TRUE,79
HLA-A,0.5957651044607546,0.056572798156512394,0.018068947771473887,0.06764390885557853,Microglia,HLA-A,385,9999,204,HLA-A,15,0.9172009408882202,0.2637771411733239,Astrocyte;Microglia;Vascular,Microglia,Astro_Intermediate;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM,Micro_DAM;Micro_Homeostatic,APLP2;LILRB1,HLA-A - APLP2;HLA-A - LILRB1,TRUE,80
VEGFA,0.6175998746416856,0.06266566052753562,0.024161810142497117,0.0674179354716304,Microglia,VEGFA,385,9999,204,VEGFA,30,1.23561957384677,0.4233577321929837,Astrocyte;Vascular,Microglia,Astro_Homeostatic;Astro_Intermediate;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,EPHB2;ITGA9;ITGAV;ITGB1;NRP1,VEGFA - EPHB2;VEGFA - ITGA9;VEGFA - ITGAV;VEGFA - ITGB1;VEGFA - NRP1,TRUE,81
VEGFB,0.6003174483099585,0.0609072245014624,0.022403374116423895,0.0673781954141237,Microglia,VEGFB,385,9999,204,VEGFB,15,0.498834964978391,0.17416132059186695,Astrocyte;Microglia;Vascular,Microglia,Astro_Intermediate;CapEC_ActHigh;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,Micro_DAM;Micro_Homeostatic,ADRB2;NRP1,VEGFB - ADRB2;VEGFB - NRP1,TRUE,82
IGSF11,0.5843815431500059,0.05835365977751472,0.019849809392476214,0.06700372728337547,Microglia,IGSF11,385,9999,204,IGSF11,2,0.96966301793833,0.49315618578487,Astrocyte,Microglia,Astro_Intermediate,Micro_DAM;Micro_Homeostatic,VSIR,IGSF11 - VSIR,TRUE,83
GAS6,0.5939068836302009,0.05630584275046454,0.017801992365426032,0.06688936417306086,Microglia,GAS6,385,9999,204,GAS6,15,1.0662260948971898,0.43193597863978783,Astrocyte;Microglia;Vascular,Microglia,Astro_Reactive;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM,Micro_DAM;Micro_Homeostatic,AXL;MERTK,GAS6 - AXL;GAS6 - MERTK,TRUE,84
EFNA5,0.5964734869873213,0.06021588278064769,0.021712032395609183,0.06687790835038467,Microglia,EFNA5,385,9999,204,EFNA5,1,0.106001160128051,0.106001160128051,Astrocyte,Microglia,Astro_Reactive,Micro_DAM,EPHB2,EFNA5 - EPHB2,TRUE,85
JAM2,0.5806926587038923,0.05877169126270219,0.02026784087766368,0.06644323065921688,Microglia,JAM2,385,9999,204,JAM2,10,0.309159711767249,0.13149424482678507,Astrocyte;Vascular,Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,ITGAV_ITGB1,JAM2 - ITGAV/ITGB1,TRUE,86
DCN,0.5914113346607606,0.0593421447643074,0.020838294379268894,0.06628318070895073,Microglia,DCN,385,9999,204,DCN,12,0.963491813786746,0.3752765549435993,Vascular,Microglia,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,ERBB4;TLR2,DCN - ERBB4;DCN - TLR2,TRUE,87
CNTN1,0.5862165294659579,0.05652547760104584,0.018021627216007335,0.06618542189628712,Microglia,CNTN1,385,9999,204,CNTN1,6,0.22788606297347003,0.11656288792236369,Astrocyte,Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,Micro_DAM;Micro_Homeostatic,NOTCH1;NOTCH2,CNTN1 - NOTCH1;CNTN1 - NOTCH2,TRUE,88
MFNG,0.6008837220611712,0.055686221926566186,0.01718237154152768,0.06611697417191482,Microglia,MFNG,385,9999,204,MFNG,7,0.653162140563299,0.23097815680567996,Microglia;Vascular,Microglia,CapEC_ActHigh;Cerebrovascular_Pericyte;Micro_DAM,Micro_DAM;Micro_Homeostatic,NOTCH1;NOTCH2,MFNG - NOTCH1;MFNG - NOTCH2,TRUE,89
NID1,0.5880299022799547,0.05663828423078968,0.018134433845751176,0.0659145382094427,Microglia,NID1,385,9999,204,NID1,11,0.8417349730889201,0.26369861408035156,Vascular,Microglia,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,ITGAV;ITGB1,NID1 - ITGAV;NID1 - ITGB1,TRUE,90
JAG2,0.5819686658255415,0.057534909031491,0.019031058646452492,0.06590772520696499,Microglia,JAG2,385,9999,204,JAG2,6,0.5170329006394301,0.19081517436754183,Vascular,Microglia,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte,Micro_DAM;Micro_Homeostatic,NOTCH1;NOTCH2,JAG2 - NOTCH1;JAG2 - NOTCH2,TRUE,91
SEMA3A,0.5859004319998687,0.058937865067421304,0.020434014682382796,0.06577433316877591,Microglia,SEMA3A,385,9999,204,SEMA3A,10,0.807470115872583,0.24425241192049316,Astrocyte,Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,Micro_DAM;Micro_Homeostatic,NRP1_PLXNA1;NRP1_PLXNA2;NRP2,SEMA3A - NRP1/PLXNA1;SEMA3A - NRP1/PLXNA2;SEMA3A - NRP2,TRUE,92
RPS19,0.5946160766630928,0.059311037430255405,0.020807187045216897,0.0654759740140863,Microglia,RPS19,385,9999,204,RPS19,5,0.31317509765846996,0.2699634026034466,Microglia;Vascular,Microglia,CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,Micro_DAM,C5AR1,RPS19 - C5AR1,TRUE,93
NUCB2,0.580016426261481,0.058615957716281225,0.020112107331242718,0.06524860851465142,Microglia,NUCB2,385,9999,204,NUCB2,2,0.219763688873008,0.1958710058032235,Vascular,Microglia,CapEC_ActHigh,Micro_DAM;Micro_Homeostatic,ERAP1,NUCB2 - ERAP1,TRUE,94
LRPAP1,0.5920619010695995,0.05820416244428018,0.01970031205924167,0.06505641862307335,Microglia,LRPAP1,385,9999,204,LRPAP1,19,1.01604610926699,0.2936771048571551,Astrocyte;Microglia;Vascular,Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,Micro_DAM;Micro_Homeostatic,LRP1;LRP8;SORL1,LRPAP1 - LRP1;LRPAP1 - LRP8;LRPAP1 - SORL1,TRUE,95
TIMP1,0.5873823077276371,0.06112547735697971,0.0226216269719412,0.06490093103291485,Microglia,TIMP1,385,9999,204,TIMP1,5,0.878420406981558,0.3730667437025614,Vascular,Microglia,CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,CD63,TIMP1 - CD63,TRUE,96
PTDSS1,0.5882298271730351,0.05627462282340257,0.017770772438364064,0.06482617681238498,Microglia,PTDSS1,385,9999,204,PTDSS1,8,0.370875394262387,0.18949040377701568,Microglia;Vascular,Microglia,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Micro_DAM;Micro_Homeostatic,Micro_DAM;Micro_Homeostatic,SCARB1,PTDSS1 - SCARB1,TRUE,97
THBS2,0.5965650742018529,0.057692773985701974,0.019188923600663467,0.06469669653901022,Microglia,THBS2,385,9999,204,THBS2,4,0.27398967106776506,0.15741425185168928,Vascular,Microglia,Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,CD47;ITGA6,THBS2 - CD47;THBS2 - ITGA6,TRUE,98
COL4A6,0.5838930780058297,0.05626583783614839,0.017761987451109885,0.06455318294985882,Microglia,COL4A6,385,9999,204,COL4A6,4,0.0957352962702279,0.04741395338499449,Astrocyte;Vascular,Microglia,Astro_Reactive;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,CD93;ITGA9_ITGB1,COL4A6 - CD93;COL4A6 - ITGA9/ITGB1,TRUE,99
THY1,0.5842937382983147,0.056731447588131305,0.018227597203092798,0.06451679894932862,Microglia,THY1,385,9999,204,THY1,12,0.460361188211524,0.15768847720359522,Astrocyte;Vascular,Microglia,Astro_Homeostatic;Astro_Intermediate;CapEC_ActHigh;CapEC_ActMid,Micro_DAM;Micro_Homeostatic,ITGAM_ITGB2;ITGAX_ITGB2,THY1 - ITGAM/ITGB2;THY1 - ITGAX/ITGB2,TRUE,100
FN1,0.598246604653927,0.05937866930178,0.02087481891674149,0.0643404692238604,Microglia,FN1,385,9999,204,FN1,32,2.1161033053567,0.4793770300426632,Astrocyte;Vascular,Microglia,Astro_Homeostatic;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,C5AR1;ITGA5_ITGB1;ITGA6;ITGA9;ITGAV_ITGB1,FN1 - C5AR1;FN1 - ITGA5/ITGB1;FN1 - ITGA6;FN1 - ITGA9;FN1 - ITGAV/ITGB1,TRUE,101
CALM3,0.5957845566125126,0.058707422408912364,0.020203572023873857,0.06422431471107486,Microglia,CALM3,385,9999,204,CALM3,21,0.84561632214601,0.23317890130835642,Astrocyte;Microglia;Vascular,Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM,Micro_DAM;Micro_Homeostatic,ESR1;KCNQ1;KCNQ3,CALM3 - ESR1;CALM3 - KCNQ1;CALM3 - KCNQ3,FALSE,102
IL1B,0.60429433266961885,0.060986559738196736,0.02248270935315823,0.06419616839075408,Microglia,IL1B,385,9999,204,IL1B,1,1.5218889396524,1.5218889396524,Microglia,Microglia,Micro_DAM,Micro_DAM,ADRB2,IL1B - ADRB2,TRUE,103
LAMB1,0.5923582762151515,0.06003966039380721,0.021535810008768703,0.0639920290142158,Microglia,LAMB1,385,9999,204,LAMB1,6,0.38623330929846,0.16762009766929734,Vascular,Microglia,Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,ITGA6_ITGB1;ITGA9_ITGB1,LAMB1 - ITGA6/ITGB1;LAMB1 - ITGA9/ITGB1,TRUE,104
COL9A2,0.5957829355998706,0.05867866629605608,0.020174815911017573,0.06367179975099095,Microglia,COL9A2,385,9999,204,COL9A2,5,0.147280144811191,0.07431044275799362,Astrocyte;Microglia,Microglia,Astro_Intermediate;Micro_DAM;Micro_Homeostatic,Micro_DAM;Micro_Homeostatic,ITGA9_ITGB1,COL9A2 - ITGA9/ITGB1,TRUE,105
C1QA,0.5992297488240897,0.061018085319948685,0.022514234934910178,0.06366532070120394,Microglia,C1QA,385,9999,204,C1QA,5,1.32432492237246,0.4317835597463488,Microglia,Microglia,Micro_DAM;Micro_Homeostatic,Micro_DAM;Micro_Homeostatic,CD33;CD93,C1QA - CD33;C1QA - CD93,TRUE,106
INHBB,0.5765896055265696,0.05617521469544838,0.017671364310409873,0.0634621359965973,Microglia,INHBB,385,9999,204,INHBB,2,0.13319975862684497,0.07979945262072746,Astrocyte,Microglia,Astro_Homeostatic;Astro_Intermediate,Micro_DAM,SMAD3,INHBB - SMAD3,FALSE,107
ITGB2,0.5902112449647291,0.05641892816871208,0.017915077783673572,0.06327182464374329,Microglia,ITGB2,385,9999,204,ITGB2,3,0.5197085748783541,0.282314393783678,Microglia,Microglia,Micro_DAM,Micro_DAM;Micro_Homeostatic,CD226;THY1,ITGB2 - CD226;ITGB2 - THY1,TRUE,108
PSAP,0.5865763942735008,0.056306403085054246,0.01780255270001574,0.06315355363863416,Microglia,PSAP,385,9999,204,PSAP,12,0.30707270438787604,0.11933285027004974,Astrocyte;Microglia;Vascular,Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM,Micro_DAM;Micro_Homeostatic,LRP1,PSAP - LRP1,TRUE,109
LAMC1,0.5873053096269242,0.05792919661759671,0.019425346232558205,0.06300127672906565,Microglia,LAMC1,385,9999,204,LAMC1,11,0.3194198695930911,0.13426119517825275,Astrocyte;Vascular,Microglia,Astro_Homeostatic;Astro_Reactive;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,ITGA6_ITGB1;ITGA9_ITGB1,LAMC1 - ITGA6/ITGB1;LAMC1 - ITGA9/ITGB1,TRUE,110
ADAM9,0.5999354296629089,0.05796059871299276,0.01945674832795425,0.0628892553549172,Microglia,ADAM9,385,9999,204,ADAM9,21,0.8068747283028939,0.2620191794720424,Astrocyte;Microglia;Vascular,Microglia,Astro_Homeostatic;Astro_Intermediate;CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,Micro_DAM;Micro_Homeostatic,ITGA6;ITGAV;ITGB1;ITGB5,ADAM9 - ITGA6;ADAM9 - ITGAV;ADAM9 - ITGB1;ADAM9 - ITGB5,TRUE,111
LTBP1,0.5840297834056936,0.055404230260487214,0.016900379875448707,0.06280644653058053,Microglia,LTBP1,385,9999,204,LTBP1,5,0.6124531636772299,0.4085425626940898,Astrocyte;Vascular,Microglia,Astro_Intermediate;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,ITGB5,LTBP1 - ITGB5,TRUE,112
COL4A4,0.5935318893712901,0.058002141713427144,0.019498291328388637,0.06270672365458164,Microglia,COL4A4,385,9999,204,COL4A4,5,1.62703478791267,0.610577700274052,Vascular,Microglia,Cerebrovascular_Pericyte,Micro_DAM;Micro_Homeostatic,CD47;CD93;ITGA9_ITGB1,COL4A4 - CD47;COL4A4 - CD93;COL4A4 - ITGA9/ITGB1,TRUE,113
ANXA2,0.5900667046704069,0.0567077661866417,0.018203915801603195,0.06251764817428385,Microglia,ANXA2,385,9999,204,ANXA2,2,0.18251026717706997,0.12101458634448492,Vascular,Microglia,Cerebrovascular_Venous,Micro_DAM;Micro_Homeostatic,TLR2,ANXA2 - TLR2,TRUE,114
