dataset,donor_id,Cooks_distance,hat
DLPFC_Endothelial,H20.33.035,0.007530305205499385,0.06467602742630048
DLPFC_Endothelial,H20.33.036,1.9655936957600936e-05,0.11651049999145678
DLPFC_Endothelial,H20.33.037,0.0013921661064588862,0.09269359772501023
DLPFC_Endothelial,H20.33.038,0.0003219229288989197,0.06730541064919868
DLPFC_Endothelial,H20.33.039,0.003948924252666505,0.10430481821043687
DLPFC_Endothelial,H20.33.040,0.0010696843568292662,0.09710832523417365
DLPFC_Endothelial,H20.33.041,0.001987163205117434,0.05096188727091702
DLPFC_Endothelial,H20.33.044,5.78793543304362e-06,0.12677472110615667
DLPFC_Endothelial,H20.33.045,0.04030612411326328,0.16387413022182115
DLPFC_Endothelial,H20.33.046,0.013646147870756534,0.10758385242270294
DLPFC_Endothelial,H21.33.001,0.00870797174032444,0.12732853243961473
DLPFC_Endothelial,H21.33.002,0.07372967578775957,0.15421717387570172
DLPFC_Endothelial,H21.33.003,0.0005195902698393863,0.11259667012741925
DLPFC_Endothelial,H21.33.004,0.0009786143968752525,0.10886964770784022
DLPFC_Endothelial,H21.33.005,0.016767608135555282,0.08721401110766405
DLPFC_Endothelial,H21.33.006,0.004006667423012866,0.1265859281379946
DLPFC_Endothelial,H21.33.007,0.006130575599512491,0.056259922959743004
DLPFC_Endothelial,H21.33.008,0.012966436478981689,0.08927203613842193
DLPFC_Endothelial,H21.33.011,0.0688435395120613,0.0824027459923589
DLPFC_Endothelial,H21.33.012,0.0007552949594273262,0.13498291809183885
DLPFC_Endothelial,H21.33.013,0.0025352301500511532,0.07096568562965898
DLPFC_Endothelial,H21.33.014,0.0030098589026777483,0.09695526959335343
DLPFC_Endothelial,H21.33.015,0.00037810701300464817,0.08734457805213154
DLPFC_Endothelial,H21.33.016,0.002737767435704856,0.056910960283765216
DLPFC_Endothelial,H21.33.017,0.007714642913101688,0.08427905359374542
DLPFC_Endothelial,H21.33.018,0.0008340989198673286,0.10691641437264716
DLPFC_Endothelial,H21.33.019,0.0018164813553486854,0.14227846756156592
DLPFC_Endothelial,H21.33.020,0.2368104554850495,0.24819864834858718
DLPFC_Endothelial,H21.33.021,0.0029688132144610377,0.09728919983099751
DLPFC_Endothelial,H21.33.022,0.04348951668177349,0.07205753540066408
DLPFC_Endothelial,H21.33.023,0.005343300798916572,0.09403508845910508
DLPFC_Endothelial,H21.33.025,0.0924256046699707,0.06108753073104866
DLPFC_Endothelial,H21.33.026,0.0027900621329412143,0.07394943884375316
DLPFC_Endothelial,H21.33.027,0.005490505076202368,0.07198680289938952
DLPFC_Endothelial,H21.33.028,0.0007893282075383309,0.1472905686692631
DLPFC_Endothelial,H21.33.029,0.0029272038457085515,0.15225475829935706
DLPFC_Endothelial,H21.33.030,0.0021082651606749393,0.08223099293702435
DLPFC_Endothelial,H21.33.031,0.05586012626418601,0.06926645589392423
DLPFC_Endothelial,H21.33.032,0.0009844662071622466,0.05853115264884776
DLPFC_Endothelial,H21.33.033,0.019977387591669463,0.13522993936985325
DLPFC_Endothelial,H21.33.034,0.005102367228912829,0.26002035755999325
DLPFC_Endothelial,H21.33.035,0.0013839357412566398,0.055840190923322104
DLPFC_Endothelial,H21.33.036,0.003083107385265444,0.07940442118478891
DLPFC_Endothelial,H21.33.037,0.002550391897723105,0.11201199055189619
DLPFC_Endothelial,H21.33.038,0.018181415195839573,0.11029828329774821
DLPFC_Endothelial,H21.33.040,0.002011383036510259,0.09833391282957761
DLPFC_Endothelial,H21.33.041,0.0001589742479667999,0.0906577213106003
DLPFC_Endothelial,H21.33.042,0.2704395537602801,0.1576548056349555
DLPFC_Endothelial,H21.33.043,0.005264897190006833,0.06900673547362238
DLPFC_Endothelial,H21.33.044,0.002149562666600507,0.05466573098858264
DLPFC_Endothelial,H21.33.045,0.004018309601440242,0.08904145288191714
DLPFC_Endothelial,H21.33.046,0.00437679221374352,0.07723636193013267
