"Nhood","UMAP1","UMAP2","Size","logFC","PValue","SpatialFDR","SigCat","Direction","Subtype","SubtypePurity"
62,-7.38234992677487,6.06645591665294,63,-0.45374984178842,0.256760009552124,0.760759996476637,"NS","NS","Capillary",1
63,1.92411221074699,-7.79805566244791,38,-0.224942587565312,0.5962072645889,0.9233569293266,"NS","NS","Pericyte",1
64,-12.3338739177087,-1.16052351929427,50,0.175000862755579,0.661248223106404,0.9233569293266,"NS","NS","Pericyte",1
65,11.7879988853724,-4.96982463348498,33,0.052333108775042,0.932025976993551,0.982783038795893,"NS","NS","Pericyte",0.757575757575758
66,0.607810813603796,-7.87247653315972,53,-0.327279267235537,0.428646576757346,0.861410911511745,"NS","NS","Pericyte",1
67,-11.7006714926479,-0.336733473304086,33,0.888004712439168,0.0536742160432699,0.282811331769109,"NS","NS","Pericyte",1
68,14.0001172886758,-6.01675112490632,31,0.586225314951165,0.209302716864229,0.723761230633037,"NS","NS","Venous",1
69,-9.26606928985672,3.07537967676964,44,0.222860816070113,0.589125138129759,0.9233569293266,"NS","NS","Capillary",1
70,-7.55300884672097,8.02696057984872,71,-0.347966858610692,0.375086948822331,0.861410911511745,"NS","NS","Capillary",1
71,13.8745437314159,-5.20829898808444,33,-0.104749765774126,0.857831556831869,0.968055723352165,"NS","NS","Venous",1
72,0.30988497970269,-7.67375641056613,58,0.102377109957489,0.81087034762625,0.963504766002955,"NS","NS","Pericyte",1
73,-8.36372217722585,1.96538981463048,28,1.10697279233022,0.018683912166104,0.136684788649128,"NS","NS","Capillary",1
74,1.79038509483146,21.871777154429,30,-2.94701601952586,0.000558308521375666,0.00615864547166927,"FDR<0.01","CN-enriched","SMC",1
75,-12.0072328400054,0.390025670567668,49,1.07598141167192,0.0144035300028791,0.121229710857566,"NS","NS","Pericyte",0.979591836734694
76,-10.4711817538012,0.278739432828279,26,1.01903183596688,0.0270340955867208,0.176157655113471,"NS","NS","Pericyte",0.692307692307692
77,1.42025249754396,-6.24437039307283,65,0.506938042278207,0.200514778613746,0.723285451428155,"NS","NS","Pericyte",1
